=== Average Sentiment Score Per Year (By Category) ===
Category      ARTS  ARTS & CULTURE  BLACK VOICES  BUSINESS   COLLEGE    COMEDY     CRIME  CULTURE & ARTS   DIVORCE  EDUCATION  ENTERTAINMENT  ENVIRONMENT     FIFTY  FOOD & DRINK  GOOD NEWS     GREEN  HEALTHY LIVING  HOME & LIVING    IMPACT  LATINO VOICES     MEDIA     MONEY  PARENTING   PARENTS  POLITICS  QUEER VOICES  RELIGION   SCIENCE    SPORTS     STYLE  STYLE & BEAUTY     TASTE      TECH    TRAVEL  WEDDINGS  WEIRD NEWS  WELLNESS     WOMEN  WORLD NEWS  WORLDPOST
Year                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2003      0.020917        0.276000     -0.016937 -0.000341  0.001840 -0.259807 -0.343649        0.000000 -0.030340   0.070800      -0.010650    -0.059300  0.000000      0.020475  -0.037520 -0.077953        0.012489       0.200610  0.001136       -0.65900 -0.175155  0.016175  -0.040275 -0.117671 -0.065639      0.040743  0.211782  0.035220  0.107514  0.220417        0.034736  0.000000  0.092738  0.046707  0.084567   -0.139466 -0.020745 -0.176367   -0.082984  -0.185765
2004     -0.012380        0.171986     -0.071137  0.010491  0.050470  0.014262 -0.364455        0.123475 -0.068000  -0.061208      -0.028479    -0.152300  0.000000      0.103216   0.296763 -0.010836       -0.067944       0.085129 -0.003426       -0.12500 -0.000839 -0.139139   0.116300 -0.185475 -0.068602     -0.083457 -0.132429  0.074483  0.077856  0.383600       -0.048283 -0.356800 -0.023988  0.045550  0.011670   -0.100388 -0.048332 -0.071536   -0.258028  -0.179090
2005     -0.152025        0.182633     -0.095758 -0.004634 -0.055533 -0.232693 -0.430374        0.220200 -0.101700   0.112689      -0.005624    -0.134767  0.140500      0.009744  -0.092120 -0.054580       -0.088324       0.067315  0.141666       -0.18580 -0.229843 -0.101564  -0.035368 -0.094686 -0.079121      0.067506  0.070678  0.041136  0.122394  0.020300        0.108778  0.281400 -0.153833 -0.007189 -0.158900   -0.233957 -0.025474 -0.134882   -0.157686  -0.182175
2006      0.068889       -0.095450     -0.128662  0.005649 -0.065100 -0.063517 -0.386490       -0.599400 -0.192710  -0.020500       0.004545    -0.047920 -0.340000     -0.009193   0.247500 -0.031547       -0.112489       0.023923  0.059276            NaN -0.117895  0.012136  -0.085886 -0.356800 -0.070664     -0.140258  0.033757 -0.003561  0.124238 -0.137813       -0.084268       NaN  0.201257  0.017894 -0.017200   -0.148392 -0.015975 -0.198133   -0.184662  -0.169519
2007     -0.015838        0.162500     -0.077521 -0.018791 -0.169873 -0.104607 -0.380804        0.246950 -0.114380   0.000928      -0.016499     0.023425 -0.139580     -0.036812   0.065980 -0.039520       -0.102432      -0.077614  0.034776        0.22350 -0.160979 -0.039700  -0.018100  0.000000 -0.078517     -0.228250  0.094007 -0.005115  0.113596 -0.139729       -0.041593  0.000000 -0.005055  0.022665  0.109286   -0.165521 -0.079255 -0.143950   -0.184863  -0.159694
2008      0.136823       -0.142492     -0.075882 -0.034359 -0.059200 -0.076424 -0.393991        0.170200 -0.106000   0.018643      -0.012777    -0.151775  0.117180      0.030887   0.371914 -0.092188       -0.078003       0.053650 -0.012382            NaN -0.097322  0.026206  -0.128535 -0.020829 -0.069983     -0.136180  0.022979 -0.053325  0.072136  0.028288        0.025714  0.317000 -0.015667  0.039540 -0.130750   -0.100397 -0.056749 -0.278967   -0.280842  -0.204387
2009     -0.026417       -0.080567     -0.070123 -0.040286  0.003838 -0.166918 -0.391372       -0.025825 -0.152567  -0.052408      -0.036666    -0.084314  0.017200      0.023738   0.138900 -0.086172       -0.130879       0.046160  0.158971        0.00000 -0.054916 -0.040300  -0.074593  0.014527 -0.069673     -0.084614 -0.255860  0.026166  0.007645 -0.004000        0.045694       NaN -0.111287 -0.009958 -0.017200   -0.172423 -0.146066 -0.265152   -0.100051  -0.195288
2010      0.160043        0.118820     -0.119041 -0.005486 -0.134167 -0.279718 -0.435067        0.000000 -0.070960  -0.211495      -0.030467    -0.062908  0.099433      0.016476   0.192350 -0.034860       -0.148142      -0.057668  0.027612            NaN -0.092771 -0.002675  -0.096695 -0.046586 -0.093939     -0.150005 -0.178567  0.032990  0.104910  0.033717       -0.010358  0.113333 -0.137505  0.010566  0.121800   -0.161448 -0.097095 -0.105567   -0.245106  -0.210684
2011      0.000000        0.102120     -0.076511 -0.025663 -0.095317 -0.064492 -0.454242       -0.059900 -0.008289  -0.103732      -0.026491    -0.029214  0.039414      0.023714   0.116485 -0.068851       -0.098384      -0.038756  0.028027       -0.54230 -0.032767 -0.010957  -0.034847  0.054809 -0.102742     -0.137852 -0.030633  0.055955  0.110895  0.059350       -0.057575  0.029650 -0.107900  0.023866  0.085443   -0.210051  0.012343 -0.066244   -0.224687  -0.198675
2012     -0.023900       -0.102120     -0.061158 -0.012865 -0.032122 -0.231300 -0.417219        0.000000 -0.121933  -0.045150      -0.005218    -0.098158 -0.045533      0.030805   0.085154 -0.056487       -0.068040      -0.007387  0.050167            NaN -0.079150  0.023881  -0.076645 -0.080075 -0.058183     -0.003205 -0.057455  0.088615  0.073740  0.053756       -0.025475  0.318200 -0.007727  0.020958  0.535950   -0.226355  0.043513 -0.191725   -0.094322  -0.105558
2013      0.100683        0.192925     -0.068657  0.015808 -0.131890 -0.067075 -0.406769        0.188467  0.113236  -0.139939      -0.002209    -0.029661 -0.122640      0.083415   0.045267 -0.018956       -0.097445      -0.014570  0.058496            NaN -0.063756 -0.028542  -0.046118 -0.139350 -0.059700     -0.090503 -0.110844 -0.022431  0.071488  0.021578       -0.068632  0.285950  0.118200 -0.003866  0.246950   -0.176010 -0.045218 -0.142243   -0.061290  -0.145103
2014     -0.055038        0.257833      0.061845  0.022276 -0.025845 -0.134257 -0.433442             NaN -0.113760   0.004180      -0.002041    -0.005750  0.105375      0.024724   0.272650 -0.045375       -0.083808       0.009253  0.025332       -0.58590 -0.070745 -0.020485  -0.106897  0.116163 -0.070936     -0.131826  0.023133  0.000132  0.111817  0.225440        0.063386  0.123225  0.049083  0.024694  0.098383   -0.132623 -0.020364 -0.266243   -0.060711  -0.133202
2015      0.072522        0.187209     -0.135032  0.017759 -0.104671 -0.050937 -0.447587        0.226160 -0.148000  -0.045218      -0.000575     0.007408  0.557400      0.004817   0.405360 -0.065765       -0.102207      -0.060557  0.088725            NaN -0.093652  0.012317  -0.063335 -0.035123 -0.063397     -0.040459 -0.007689  0.097394  0.114004  0.000000       -0.018327  0.000000 -0.014645  0.022301  0.080287   -0.114563 -0.057325 -0.175992    0.000813  -0.142330
2016      0.171608        0.135857     -0.120546  0.034923 -0.061714 -0.025029 -0.422561        0.182225 -0.444625  -0.029600      -0.006948    -0.037467  0.310600      0.093023   0.235780 -0.040277       -0.173491       0.045264  0.093728            NaN -0.158132 -0.063754   0.004572  0.006480 -0.089389      0.042976  0.050691 -0.013455  0.118421  0.145843        0.108322       NaN -0.057621  0.030027  0.298600   -0.065508 -0.039318 -0.157189   -0.094868  -0.179668
2017      0.197587        0.032355     -0.199955  0.048546 -0.172489 -0.237610 -0.460238        0.000000 -0.179820  -0.267980      -0.053216    -0.400300  0.255150      0.163859   0.353633 -0.022960       -0.121546       0.049568  0.014535       -0.21075 -0.016700 -0.035483  -0.054583  0.088967 -0.068359      0.008875  0.079808 -0.015332  0.046125 -0.146475       -0.086679 -0.385850 -0.217282  0.008294  0.143900   -0.196223 -0.087919 -0.202313   -0.188311  -0.183247
2018      0.051610        0.036320     -0.215742 -0.011681 -0.146933 -0.012217 -0.484592        0.493900 -0.136600  -0.040644      -0.064108    -0.158386  0.074000     -0.082846   0.461150 -0.000824       -0.057924       0.049031  0.074931            NaN -0.058300  0.072422  -0.017410  0.065350 -0.089554     -0.145947 -0.304444 -0.009548  0.034265 -0.410067       -0.163675  0.226750 -0.125700 -0.034164  0.184925   -0.137352 -0.045445 -0.097523   -0.058773  -0.179186
2019      0.092900       -0.179063     -0.074050 -0.064415 -0.197450 -0.104400 -0.421052        0.000000  0.011333  -0.210457      -0.035922     0.011000  0.139300      0.017256   0.541080 -0.089641       -0.073572       0.031631 -0.036612            NaN  0.113031 -0.112360  -0.025687 -0.021333 -0.108080     -0.263873 -0.334440 -0.007770  0.071840  0.105375       -0.100621       NaN  0.033453  0.029253  0.433150   -0.081181 -0.048844 -0.275321   -0.107316  -0.220629
2020     -0.109950        0.028500     -0.211325 -0.005793 -0.106144 -0.030909 -0.456571             NaN  0.111080  -0.029143      -0.036989    -0.151417  0.447900     -0.060965   0.597100 -0.102114       -0.088727       0.072746  0.209817            NaN -0.099225 -0.112773  -0.014050 -0.038833 -0.049181      0.022921  0.008725  0.009111  0.018457  0.064633        0.051669       NaN -0.105254  0.010301 -0.226467   -0.084443 -0.039008 -0.562733   -0.184282  -0.220201
2021      0.000000        0.127267     -0.367700  0.023771  0.000000  0.120400 -0.490869             NaN  0.101750   0.000000      -0.016039     0.149550       NaN      0.268857   0.520300 -0.215685       -0.002056       0.070000  0.000000        0.77170 -0.119564 -0.072460   0.087700 -0.052300 -0.075028     -0.106467  0.005814 -0.020638 -0.004869  0.000000       -0.025850       NaN  0.125000  0.020958 -0.718400   -0.151600 -0.084828 -0.252250   -0.152253  -0.138674

=== Sentiment Distribution Over Years ===
Sentiment_Label      Negative  Neutral  Positive
Year Category                                   
2003 ARTS                 1.0      4.0       1.0
     ARTS & CULTURE       NaN      1.0       1.0
     BLACK VOICES        11.0     17.0      10.0
     BUSINESS            40.0     58.0      37.0
     COLLEGE              2.0      6.0       2.0
     COMEDY              10.0      1.0       3.0
     CRIME              121.0     34.0      15.0
     CULTURE & ARTS       NaN      1.0       NaN
     DIVORCE              1.0      2.0       2.0
     EDUCATION            2.0      6.0       4.0
     ENTERTAINMENT      116.0    231.0     104.0
     ENVIRONMENT          1.0      1.0       1.0
     FIFTY                NaN      2.0       NaN
     FOOD & DRINK         6.0     11.0       7.0
     GOOD NEWS            3.0      NaN       2.0
     GREEN               16.0     18.0       9.0
     HEALTHY LIVING      25.0     42.0      28.0
     HOME & LIVING        2.0      8.0      10.0
     IMPACT               8.0     10.0      10.0
     LATINO VOICES        2.0      NaN       NaN
     MEDIA               10.0      7.0       3.0
     MONEY                4.0      2.0       2.0
     PARENTING            5.0      8.0       3.0
     PARENTS              4.0      2.0       1.0
     POLITICS           350.0    381.0     222.0
     QUEER VOICES         4.0     11.0       6.0
     RELIGION             3.0      5.0       9.0
     SCIENCE              5.0     13.0       7.0
     SPORTS              44.0     73.0      73.0
     STYLE                NaN      4.0       2.0
     STYLE & BEAUTY       1.0      7.0       3.0
     TASTE                NaN      1.0       NaN
     TECH                 NaN      6.0       2.0
     TRAVEL              33.0     77.0      50.0
     WEDDINGS             1.0      1.0       1.0
     WEIRD NEWS          19.0     19.0       9.0
     WELLNESS            38.0     50.0      42.0
     WOMEN                3.0      2.0       1.0
     WORLD NEWS          12.0     18.0       8.0
     WORLDPOST          207.0    145.0      80.0
2004 ARTS                 1.0      3.0       1.0
     ARTS & CULTURE       2.0      3.0       2.0
     BLACK VOICES        12.0     15.0       5.0
     BUSINESS            44.0     76.0      45.0
     COLLEGE              3.0      3.0       4.0
     COMEDY               7.0      3.0       6.0
     CRIME              137.0     52.0       9.0
     CULTURE & ARTS       NaN      3.0       1.0
     DIVORCE              1.0      4.0       NaN
     EDUCATION            3.0      7.0       2.0
     ENTERTAINMENT      134.0    250.0     114.0
     ENVIRONMENT          2.0      3.0       NaN
     FIFTY                NaN      1.0       NaN
     FOOD & DRINK         5.0     12.0       8.0
     GOOD NEWS            NaN      3.0       5.0
     GREEN               19.0     29.0      19.0
     HEALTHY LIVING      49.0     52.0      33.0
     HOME & LIVING        4.0     13.0      11.0
     IMPACT               6.0      6.0       7.0
     LATINO VOICES        1.0      1.0       NaN
     MEDIA                4.0      8.0       6.0
     MONEY                9.0      6.0       3.0
     PARENTING            8.0      4.0      14.0
     PARENTS              2.0      2.0       NaN
     POLITICS           425.0    438.0     259.0
     QUEER VOICES         5.0      7.0       2.0
     RELIGION             5.0      7.0       2.0
     SCIENCE              5.0     10.0       9.0
     SPORTS              45.0     89.0      69.0
     STYLE                NaN      2.0       2.0
     STYLE & BEAUTY       3.0      6.0       3.0
     TASTE                2.0      NaN       NaN
     TECH                 2.0      4.0       2.0
     TRAVEL              35.0     79.0      48.0
     WEDDINGS             2.0      6.0       2.0
     WEIRD NEWS          23.0     23.0      12.0
     WELLNESS            53.0     62.0      38.0
     WOMEN                3.0      7.0       1.0
     WORLD NEWS          25.0     18.0       4.0
     WORLDPOST          201.0    163.0      71.0
2005 ARTS                 2.0      2.0       NaN
     ARTS & CULTURE       1.0      NaN       2.0
     BLACK VOICES        13.0     13.0       7.0
     BUSINESS            48.0     71.0      41.0
     COLLEGE              2.0      2.0       2.0
     COMEDY               8.0      5.0       2.0
     CRIME              195.0     29.0      14.0
     CULTURE & ARTS       NaN      1.0       1.0
     DIVORCE              3.0      3.0       2.0
     EDUCATION            3.0      1.0       5.0
     ENTERTAINMENT      134.0    258.0     127.0
     ENVIRONMENT          2.0      3.0       1.0
     FIFTY                NaN      2.0       1.0
     FOOD & DRINK         8.0     15.0       9.0
     GOOD NEWS            3.0      NaN       2.0
     GREEN               24.0     43.0      16.0
     HEALTHY LIVING      51.0     63.0      30.0
     HOME & LIVING        7.0     11.0       9.0
     IMPACT               4.0     13.0      12.0
     LATINO VOICES        1.0      2.0       NaN
     MEDIA                7.0      7.0       NaN
     MONEY                4.0      8.0       2.0
     PARENTING            8.0      8.0       6.0
     PARENTS              4.0      2.0       1.0
     POLITICS           435.0    431.0     274.0
     QUEER VOICES         3.0      6.0       7.0
     RELIGION             2.0      9.0       7.0
     SCIENCE              4.0     24.0       8.0
     SPORTS              35.0     59.0      67.0
     STYLE                1.0      3.0       1.0
     STYLE & BEAUTY       2.0     11.0       5.0
     TASTE                NaN      2.0       1.0
     TECH                 3.0      5.0       1.0
     TRAVEL              46.0    114.0      46.0
     WEDDINGS             1.0      2.0       NaN
     WEIRD NEWS          25.0     15.0       6.0
     WELLNESS            48.0     56.0      42.0
     WOMEN                5.0      3.0       3.0
     WORLD NEWS          18.0     19.0       7.0
     WORLDPOST          196.0    148.0      62.0
2006 ARTS                 1.0      6.0       2.0
     ARTS & CULTURE       1.0      3.0       NaN
     BLACK VOICES        15.0     15.0       4.0
     BUSINESS            52.0     72.0      43.0
     COLLEGE              1.0      8.0       NaN
     COMEDY               4.0      NaN       2.0
     CRIME              142.0     37.0      13.0
     CULTURE & ARTS       1.0      NaN       NaN
     DIVORCE              5.0      3.0       2.0
     EDUCATION            3.0      NaN       3.0
     ENTERTAINMENT      119.0    238.0     114.0
     ENVIRONMENT          2.0      2.0       1.0
     FIFTY                1.0      NaN       NaN
     FOOD & DRINK         8.0     13.0       6.0
     GOOD NEWS            NaN      3.0       7.0
     GREEN               21.0     36.0      15.0
     HEALTHY LIVING      61.0     40.0      32.0
     HOME & LIVING        5.0     19.0       7.0
     IMPACT               6.0      8.0       7.0
     MEDIA                8.0      9.0       2.0
     MONEY                3.0      5.0       3.0
     PARENTING            6.0     11.0       4.0
     PARENTS              2.0      NaN       NaN
     POLITICS           357.0    414.0     219.0
     QUEER VOICES         4.0      7.0       1.0
     RELIGION             2.0      3.0       2.0
     SCIENCE              4.0     20.0       4.0
     SPORTS              32.0     64.0      63.0
     STYLE                3.0      4.0       1.0
     STYLE & BEAUTY       7.0     13.0       2.0
     TECH                 NaN      3.0       4.0
     TRAVEL              33.0     70.0      39.0
     WEDDINGS             1.0      2.0       NaN
     WEIRD NEWS          27.0     23.0       9.0
     WELLNESS            46.0     55.0      45.0
     WOMEN                7.0      3.0       2.0
     WORLD NEWS          17.0     22.0       3.0
     WORLDPOST          176.0    123.0      60.0
2007 ARTS                 4.0      5.0       4.0
     ARTS & CULTURE       1.0      NaN       2.0
     BLACK VOICES        10.0     13.0       5.0
     BUSINESS            49.0     80.0      49.0
     COLLEGE              4.0      6.0       1.0
     COMEDY               6.0      6.0       2.0
     CRIME              215.0     58.0      14.0
     CULTURE & ARTS       NaN      1.0       1.0
     DIVORCE              5.0      2.0       3.0
     EDUCATION            3.0     11.0       4.0
     ENTERTAINMENT      155.0    304.0     132.0
     ENVIRONMENT          1.0      2.0       1.0
     FIFTY                2.0      3.0       NaN
     FOOD & DRINK         7.0     14.0       4.0
     GOOD NEWS            1.0      2.0       2.0
     GREEN               33.0     51.0      24.0
     HEALTHY LIVING      50.0     58.0      24.0
     HOME & LIVING       16.0     19.0       7.0
     IMPACT               7.0     11.0      11.0
     LATINO VOICES        NaN      NaN       1.0
     MEDIA                7.0      6.0       1.0
     MONEY                5.0     11.0       3.0
     PARENTING            9.0      4.0      10.0
     PARENTS              1.0      NaN       1.0
     POLITICS           430.0    521.0     237.0
     QUEER VOICES         8.0      8.0       2.0
     RELIGION             3.0      5.0       6.0
     SCIENCE              5.0     17.0       4.0
     SPORTS              28.0     69.0      59.0
     STYLE                4.0      1.0       2.0
     STYLE & BEAUTY       4.0      9.0       2.0
     TASTE                NaN      2.0       NaN
     TECH                 3.0      5.0       3.0
     TRAVEL              32.0     90.0      39.0
     WEDDINGS             1.0      3.0       3.0
     WEIRD NEWS          27.0     25.0      10.0
     WELLNESS            75.0     61.0      45.0
     WOMEN                9.0      7.0       2.0
     WORLD NEWS          14.0     12.0       1.0
     WORLDPOST          176.0    131.0      70.0
2008 ARTS                 1.0      7.0       5.0
     ARTS & CULTURE       6.0      3.0       3.0
     BLACK VOICES        13.0     21.0       5.0
     BUSINESS            81.0     93.0      62.0
     COLLEGE              1.0      4.0       NaN
     COMEDY               9.0      3.0       5.0
     CRIME              263.0     56.0      23.0
     CULTURE & ARTS       NaN      2.0       1.0
     DIVORCE              2.0      4.0       NaN
     EDUCATION            8.0      7.0       8.0
     ENTERTAINMENT      162.0    396.0     155.0
     ENVIRONMENT          4.0      3.0       1.0
     FIFTY                NaN      4.0       1.0
     FOOD & DRINK         6.0     15.0       9.0
     GOOD NEWS            1.0      1.0       5.0
     GREEN               42.0     50.0      21.0
     HEALTHY LIVING      41.0     50.0      22.0
     HOME & LIVING        9.0     12.0      11.0
     IMPACT              10.0     15.0      14.0
     MEDIA                9.0     15.0       3.0
     MONEY                8.0     13.0      10.0
     PARENTING           15.0     11.0       5.0
     PARENTS              4.0      7.0       3.0
     POLITICS           382.0    467.0     215.0
     QUEER VOICES        11.0      7.0       7.0
     RELIGION             2.0      9.0       3.0
     SCIENCE              7.0     12.0       5.0
     SPORTS              49.0     82.0      72.0
     STYLE                NaN      7.0       1.0
